id,timestamp,method,path,status,size,user_agent,geoip_country,geoip_city,device_type,ip
1,2024-08-16 16:02:42,PUT,/services.html,404,1762,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Pakistan,Christinamouth,Tablet,111.116.81.251
2,2024-08-16 16:04:20,GET,/products.html,302,2218,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Bhutan,Scottbury,Desktop,222.216.215.14
3,2024-08-16 16:08:05,POST,/about.html,200,4207,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",China,Port Pamelastad,Tablet,165.190.103.96
4,2024-08-16 16:12:44,POST,/services.html,302,2602,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Kenya,Port Leonardville,Desktop,109.169.201.37
5,2024-08-16 16:17:09,PUT,/contact.html,404,4938,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Suriname,Amystad,Tablet,67.14.18.231
6,2024-08-16 16:18:46,GET,/services.html,302,3358,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Montserrat,North Abigailmouth,Tablet,208.17.60.216
7,2024-08-16 16:21:11,GET,/products.html,302,730,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Chile,Paulburgh,Desktop,214.97.203.27
8,2024-08-16 16:21:56,POST,/about.html,301,561,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Namibia,Huynhstad,Desktop,223.181.6.244
9,2024-08-16 16:23:28,POST,/home,500,955,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Malaysia,Port Cynthiamouth,Desktop,213.150.83.32
10,2024-08-16 16:23:53,POST,/services.html,500,1453,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Spain,Kellyberg,Desktop,211.42.13.80
11,2024-08-16 16:26:31,POST,/home,200,4714,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Palestinian Territory,Port Meganmouth,Desktop,206.17.33.37
12,2024-08-16 16:29:19,PUT,/home,301,657,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Antarctica (the territory South of 60 deg S),Kristenchester,Tablet,205.177.188.206
13,2024-08-16 16:30:20,PUT,/products.html,500,4536,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Cambodia,North Michaelside,Tablet,160.229.86.125
14,2024-08-16 16:33:22,DELETE,/services.html,500,695,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Slovakia (Slovak Republic),East Veronicaberg,Desktop,223.46.83.83
